latitude	longitude	name	desc	color	source	precision
24.4691906	54.3717384	Abu Dhabi	Abu Dhabi, United Arab Emirates		Bing Maps	city/town
-34.9248009	138.5910034	Adelaide	Adelaide, Australia		Bing Maps	city/town
36.7405014	3.0095699	Africa/Algiers	Wilaya d’ Alger		Bing Maps	state/province
-4.2656999	15.2805004	Africa/Brazzaville	Commune de Brazzaville		Bing Maps	state/province
30.8782597	-84.2081909	Africa/Cairo	Cairo, GA		Bing Maps	city/town
		Africa/Khartoum	-		Bing Maps
6.4579601	3.47205	Africa/Lagos	African Ln, Eti-Osa, Nigeria		Bing Maps	street
47.9363098	-110.5057831	Africa/Lome	Loma, MT		Bing Maps	city/town
-1.2937698	36.8648491	Africa/Nairobi	Nairobi		Bing Maps	state/province
63.1746445	-153.7050934	Alaska	Alaska		Bing Maps	state/province
43.2505112	76.8881226	Almaty	Almaty, Kazakhstan		Bing Maps	city/town
30.446033	-91.182779	America/Anchorage	America St, Baton Rouge, LA 70802		Bing Maps	street
18.2264671	-63.0473518	America/Anguilla	Anguilla		Bing Maps	country
-7.3113899	-48.6211014	America/Araguaina	Araguaína		Bing Maps	county/district
		America/Argentina/Buenos_Aires	-		Bing Maps
-25.2983398	-57.6225014	America/Asuncion	Asunción, Paraguay		Bing Maps	city/town
48.7638016	-91.6218033	America/Atikokan	Atikokan, ON		Bing Maps	city/town
33.6796799	-117.8208618	America/Bahia	Bahia, Irvine, CA 92614		Bing Maps	street
		America/Bahia_Banderas	-		Bing Maps
13.1780987	-59.5485954	America/Barbados	Barbados		Bing Maps	country
-1.37194	-48.4296608	America/Belem	Passagem América, Belém - PA, 63843-070, Brazil		Bing Maps	street
4.3153343	-74.1796036	America/Bogota	Capital District		Bing Maps	state/province
33.6978683	-117.7765274	America/Boise	Boise, Irvine, CA 92604		Bing Maps	street
-35.4860382	-62.9765091	America/Buenos_Aires	América, Argentina		Bing Maps	city/town
10.4953699	-66.848877	America/Caracas	Caracas, Venezuela		Bing Maps	city/town
43.8831711	-85.7898712	America/Chicago	Chicago, Idlewild, MI 49642		Bing Maps	street
		America/Chihuahua	-		Bing Maps
-32.1416016	-63.7989426	America/Cordoba	Cordoba		Bing Maps	state/province
9.8849916	-84.2272339	America/Costa_Rica	Costa Rica		Bing Maps	country
36.1464882	-90.5163803	America/Dawson	Dawson, Paragould, AR 72450		Bing Maps	street
39.7400093	-104.9923019	America/Denver	Denver, CO		Bing Maps	city/town
41.7351608	-83.5291214	America/Detroit	S Dixie Hwy, Erie, MI 48133		Bing Maps	street
53.4538002	-113.5090027	America/Edmonton	Edmonton, AB		Bing Maps	city/town
13.6716366	-88.8636322	America/El_Salvador	El Salvador		Bing Maps	country
18.4657993	-66.1194	America/Fortaleza	La Fortaleza, Puerto Rico		Bing Maps	Neighborhood
14.6317196	-90.4674377	America/Guatemala	Guatemala City, Guatemala		Bing Maps	city/town
36.7656784	-78.9287262	America/Halifax	Halifax, VA		Bing Maps	city/town
18.1434441	-77.34655	America/Jamaica	Jamaica		Bing Maps	country
45.4408684	-84.7744217	America/La_Paz	Lapaz, Alanson, MI 49706		Bing Maps	street
43.8746185	-85.8000565	America/Los_Angeles	Los Angeles, Idlewild, MI 49642		Bing Maps	street
12.1171999	-86.2407913	America/Managua	Managua, Nicaragua		Bing Maps	city/town
27.0223694	-82.0334091	America/Manaus	Manaus Dr, Punta Gorda, FL 33983		Bing Maps	street
26.0394001	-80.2857132	America/Mexico_City	Mexico City Dr, Hollywood, FL 33026		Bing Maps	street
-34.819149	-56.2226295	America/Montevideo	América, 12500 Montevideo, Uruguay		Bing Maps	street
		America/New_York	-		Bing Maps
33.4482498	-112.075798	America/Phoenix	Phoenix, AZ		Bing Maps	city/town
		America/Port_of_Spain	-		Bing Maps
18.2491398	-66.6280365	America/Puerto_Rico	Puerto Rico		Bing Maps	country
33.4868507	-117.7083206	America/Regina	Regina, Dana Point, CA 92629		Bing Maps	street
74.674202	-94.9316025	America/Resolute	Resolute, NU		Bing Maps	city/town
44.1134415	-83.7214127	America/Santiago	Santiago, MI		Bing Maps	city/town
-22.9592209	-46.5473289	America/Sao_Paulo	América, Brazil		Bing Maps	Neighborhood
13.25	-61.2000008	America/St_Vincent	St. Vincent, Saint Vincent and the Grenadines		Bing Maps	Island
30.5991402	-94.9574509	America/Tijuana	Tijuana, Goodrich, TX 77335		Bing Maps	street
40.4609489	-80.6064377	America/Toronto	Toronto, OH		Bing Maps	city/town
49.2811012	-123.0439987	America/Vancouver	Vancouver, BC		Bing Maps	city/town
37.6044998	-92.3021011	America/Winnipeg	Winnipeg, MO		Bing Maps	city/town
52.3306999	4.86654	Amsterdam	Amsterdam, Netherlands		Bing Maps	city/town
-80.4661789	21.346302	Antarctica/Casey	Antarctica		Bing Maps	country
34.2929649	-111.6646957	Arizona	Arizona		Bing Maps	state/province
30.73876	-99.1294174	ART	Art, TX		Bing Maps	city/town
31.6011963	36.3520889	Asia/Amman	Amman		Bing Maps	state/province
26.0942402	50.5429955	Asia/Bahrain	Bahrain		Bing Maps	country
		Asia/Bangkok	-		Bing Maps
		Asia/Calcutta	-		Bing Maps
-8.5690403	125.5705566	Asia/Dili	Dili, Timor-Leste		Bing Maps	city/town
24.9455185	55.3724976	Asia/Dubai	Dubai		Bing Maps	state/province
22.3361568	114.1869659	Asia/Hong_Kong	Hong Kong SAR		Bing Maps	country
-6.2084169	106.8391876	Asia/Jakarta	Jakarta		Bing Maps	state/province
31.78232	35.208519	Asia/Jerusalem	Jerusalem		Bing Maps	city/town
34.5315514	69.125351	Asia/Kabul	Kabul, Afghanistan		Bing Maps	city/town
32.3233719	-112.0409164	Asia/Karachi	Santa Rosa, AZ		Bing Maps	city/town
40.6774101	-80.5738602	Asia/Kolkata	Calcutta, OH		Bing Maps	city/town
		Asia/Kuala_Lumpur	-		Bing Maps
29.3732109	47.9714203	Asia/Kuwait	Kuwait City, Kuwait		Bing Maps	city/town
		Asia/Makassar	-		Bing Maps
